seed,level,arm,settle,stage_at_call,phase_at_call,elapsed_at_call,already_green,latency_relay,latency_fixed,green_hold_relay,level_name
10104,0.6,W,115.36,ALLRED,NS,0.0,0,1.6359675123492678,6.635967512349268,75.0,light
10105,0.6,E,48.96,ALLRED,EW,0.5,0,7.539259818077248,3.039259818077248,69.0,light
10106,0.6,N,58.4,GREEN,NS,3.5,1,0.09857780225283364,11.098577802252834,79.5,light
10107,0.6,W,42.52,GREEN,NS,0.5,0,8.480968843335859,9.480968843335859,68.5,light
10108,0.6,W,113.89,YELLOW,NS,0.0,0,4.61379634582984,8.11379634582984,72.0,light
10109,0.6,W,113.91,GREEN,NS,0.5,0,6.087554882240383,8.087554882240383,70.5,light
10110,0.6,W,87.81,YELLOW,NS,0.0,0,4.686139257489771,0.18613925748977067,72.0,light
10111,0.6,E,155.23,YELLOW,NS,0.0,0,4.772624176331249,1.7726241763312487,72.0,light
10112,0.6,E,52.24,YELLOW,NS,0.0,0,4.755407968395758,0.2554079683957582,72.0,light
10113,0.6,E,119.57,YELLOW,NS,0.0,0,4.934689824542744,2.434689824542744,72.0,light
10114,0.6,E,44.43,GREEN,NS,1.5,0,5.0671842327924,7.5671842327924,71.5,light
10115,0.6,S,110.31,GREEN,NS,13.0,1,0.19106543090643413,0.19106543090643413,76.5,light
10116,0.6,E,140.29,YELLOW,NS,0.0,0,4.7140940798398105,16.71409407983981,72.0,light
10117,0.6,E,90.69,ALLRED,NS,1.0,0,0.8105650820208297,0.31056508202082966,76.0,light
10118,0.6,N,80.44,GREEN,NS,14.0,1,0.059194607169786195,0.059194607169786195,76.5,light
10119,0.6,W,141.95,YELLOW,NS,0.0,0,4.554247087594263,15.054247087594263,72.0,light
10120,0.6,W,149.22,YELLOW,NS,0.0,0,4.779066275235664,7.779066275235664,72.0,light
10121,0.6,S,113.31,GREEN,NS,4.5,1,0.18710713373108945,0.18710713373108945,77.5,light
10122,0.6,S,135.66,GREEN,NS,10.5,1,0.34478687949678033,3.8447868794967803,79.5,light
10123,0.6,N,84.94,GREEN,NS,18.5,1,0.06339222376169573,19.563392223761696,79.5,light
10124,0.6,E,51.98,GREEN,NS,3.0,0,6.524603522402543,0.024603522402543376,70.0,light
10125,0.6,S,78.19,GREEN,NS,4.5,1,0.31053801316262764,0.31053801316262764,79.5,light
10126,0.6,N,76.68,GREEN,NS,26.0,1,0.3169871750291122,0.3169871750291122,77.5,light
10127,0.6,S,67.21,GREEN,NS,9.0,1,0.2882184368694567,2.2882184368694567,76.5,light
10128,0.6,S,105.8,GREEN,NS,88.0,1,0.1973084740150881,0.1973084740150881,76.5,light
10129,0.6,W,119.72,YELLOW,NS,0.0,0,4.77869111973439,2.2786911197343898,72.0,light
10130,0.6,E,145.46,GREEN,NS,0.0,0,8.535514673385592,11.535514673385592,68.0,light
10131,0.6,W,136.63,YELLOW,NS,0.0,0,4.869587802726244,20.369587802726244,72.0,light
10132,0.6,W,151.99,ALLRED,NS,1.0,0,0.5070950787255128,5.007095078725513,76.0,light
10133,0.6,W,150.86,YELLOW,EW,1.0,0,13.136412331245367,6.136412331245367,63.5,light
10134,0.6,N,60.29,ALLRED,EW,0.0,0,1.7060709269195868,9.206070926919587,76.0,light
10135,0.6,W,81.98,YELLOW,NS,0.0,0,4.52128917158042,5.02128917158042,72.0,light
10136,0.6,S,118.27,GREEN,NS,45.5,1,0.2318361456480602,21.23183614564806,76.5,light
10137,0.6,E,80.97,GREEN,NS,3.0,0,6.534127702359314,6.034127702359314,70.0,light
10138,0.6,W,89.66,YELLOW,NS,0.0,0,4.839149737327489,0.33914973732748877,72.0,light
10139,0.6,W,57.67,YELLOW,EW,1.0,0,13.33458147464168,0.33458147464168064,63.5,light
10140,0.6,N,94.89,GREEN,NS,44.5,1,0.11097377296195532,9.610973772961955,79.5,light
10141,0.6,E,80.21,YELLOW,NS,0.0,0,4.794837182334618,6.794837182334618,72.0,light
10142,0.6,E,151.79,YELLOW,NS,0.0,0,4.70787181732706,5.20787181732706,72.0,light
10143,0.6,W,42.39,YELLOW,EW,0.5,0,13.612410482153948,9.612410482153948,63.0,light
10144,0.6,W,94.92,YELLOW,NS,0.0,0,4.58223916326385,0.08223916326384995,72.0,light
10145,0.6,E,140.19,GREEN,NS,0.0,0,7.307424838900715,16.807424838900715,69.5,light
10146,0.6,S,158.24,YELLOW,EW,0.0,0,4.764508581711652,16.264508581711652,73.0,light
10147,0.6,S,140.38,GREEN,NS,70.0,1,0.11888519571999723,0.11888519571999723,77.5,light
10148,0.6,E,75.56,YELLOW,NS,0.0,0,4.943886150017946,11.443886150017946,72.0,light
10149,0.6,W,74.02,GREEN,EW,6.5,1,0.475353437929698,12.975353437929698,76.5,light
10150,0.6,S,89.34,GREEN,EW,0.0,0,6.6554867024380115,15.155486702438012,71.0,light
10151,0.6,S,69.95,GREEN,NS,9.0,1,0.04634147523887577,0.04634147523887577,76.5,light
10152,0.6,S,42.04,GREEN,NS,0.5,1,0.46129677684041326,0.46129677684041326,79.5,light
10153,0.6,N,47.28,YELLOW,EW,0.0,0,4.723622371750132,22.223622371750132,73.0,light
10154,0.6,W,79.59,YELLOW,NS,1.5,0,3.412130121173874,7.412130121173874,73.5,light
10155,0.6,N,144.1,GREEN,NS,30.0,1,0.3979137209446435,0.3979137209446435,76.5,light
10156,0.6,W,124.44,YELLOW,NS,0.0,0,4.561016438114734,0.06101643811473423,72.0,light
10157,0.6,E,71.82,GREEN,NS,1.0,0,7.682765534258294,15.182765534258294,69.0,light
