level,entering_vph,seed,policy,mean_delay,p50_delay,p95_delay,max_delay,mean_through_travel,p95_through_travel,mean_stops,mean_network_queue,max_network_queue,throughput_vph,residual,amb_corridor_time,amb_total_wait
0.6,769.0,14,fixed_webster,26.6132,26.6,46.6,63.6,39.1311,55.5,1.9639,5.5682,18,747.0,2,36.0,21.6
0.6,769.0,14,fixed_coord,25.759,24.1,53.1,77.1,36.8351,54.0,1.7506,5.4173,18,750.6,5,24.5,10.1
0.6,769.0,15,relay_coupled,11.0958,10.1,21.6,38.8,24.5153,35.0,1.1085,2.3077,10,779.4,0,26.0,11.6
0.6,769.0,15,relay_isolated,11.0958,10.1,21.6,38.8,24.5153,35.0,1.1085,2.3077,10,779.4,0,26.0,11.6
0.6,769.0,15,fixed_webster,27.6917,27.6,48.1,68.6,40.4281,59.0,1.9718,5.9908,16,766.8,7,36.0,21.6
0.6,769.0,15,fixed_coord,25.8654,25.1,48.1,82.1,36.7559,55.5,1.8005,5.5725,14,775.8,5,24.5,10.1
0.6,769.0,16,relay_coupled,10.9652,9.6,22.3,33.6,24.6765,35.0,1.0521,2.0345,9,691.2,1,23.5,9.1
0.6,769.0,16,relay_isolated,10.9665,9.6,22.3,33.6,24.6451,34.5,1.0547,2.0347,9,691.2,1,23.5,9.1
0.6,769.0,16,fixed_webster,24.4925,24.1,44.6,55.1,38.1166,57.0,1.8132,4.6995,15,684.0,6,36.0,21.6
0.6,769.0,16,fixed_coord,24.3881,24.1,46.1,73.6,36.2972,53.5,1.7356,4.6655,14,687.6,4,24.5,10.1
0.6,769.0,17,relay_coupled,12.2671,10.3,24.1,36.6,26.0382,37.0,1.2078,2.6012,10,788.4,3,21.0,6.6
0.6,769.0,17,relay_isolated,12.2637,10.3,23.6,36.6,26.0469,37.0,1.2078,2.6005,10,788.4,3,21.0,6.6
0.6,769.0,17,fixed_webster,26.0801,25.6,46.1,72.3,38.7125,56.0,1.8879,5.7583,17,770.4,9,36.0,21.6
0.6,769.0,17,fixed_coord,25.805,25.1,47.1,89.6,37.4512,55.5,1.8146,5.6967,19,786.6,6,24.5,10.1
0.6,769.0,18,relay_coupled,10.8866,9.6,20.6,29.8,24.3566,33.0,1.0743,2.0972,9,727.2,0,22.0,7.6
0.6,769.0,18,relay_isolated,10.8941,9.6,20.6,29.8,24.3676,33.0,1.0743,2.0987,9,727.2,0,22.0,7.6
0.6,769.0,18,fixed_webster,25.7606,25.6,45.6,61.1,38.7434,56.0,1.9323,5.1623,14,718.2,2,36.0,21.6
0.6,769.0,18,fixed_coord,25.1022,23.1,51.1,75.1,35.2981,53.5,1.7382,5.0232,14,721.8,3,24.5,10.1
0.6,769.0,19,relay_coupled,11.18,9.8,20.6,36.3,24.8517,33.5,1.0849,2.3558,11,784.8,3,19.0,4.6
0.6,769.0,19,relay_isolated,11.18,9.8,20.6,36.3,24.8517,33.5,1.0849,2.3558,11,784.8,3,19.0,4.6
0.6,769.0,19,fixed_webster,25.7573,26.1,44.1,57.8,39.2828,56.5,1.8767,5.627,16,774.0,6,36.0,21.6
0.6,769.0,19,fixed_coord,26.0726,25.6,50.8,81.6,36.815,55.0,1.7844,5.6755,16,784.8,6,24.5,10.1
1.0,1281.6,0,relay_coupled,15.7522,14.1,33.6,50.8,28.964,46.5,1.5324,5.1673,19,1193.4,9,19.5,5.1
1.0,1281.6,0,relay_isolated,15.5632,13.8,33.6,51.8,28.5011,44.0,1.5158,5.0995,19,1193.4,9,19.5,5.1
1.0,1281.6,0,fixed_webster,29.2954,28.1,54.3,87.3,41.1338,62.0,2.0623,9.871,25,1184.4,17,55.0,40.6
1.0,1281.6,0,fixed_coord,28.3669,26.6,58.3,81.1,38.3186,57.0,1.7938,9.5473,26,1170.0,23,31.5,17.1
1.0,1281.6,1,relay_coupled,15.318,14.6,29.6,50.3,28.1546,39.5,1.5508,5.474,16,1310.4,5,18.5,4.1
1.0,1281.6,1,relay_isolated,15.0861,14.1,30.1,50.3,27.8494,39.0,1.5453,5.3863,16,1310.4,5,18.5,4.1
1.0,1281.6,1,fixed_webster,29.0399,28.1,50.1,80.6,40.8646,55.5,2.0538,10.6308,26,1305.0,10,55.0,40.6
1.0,1281.6,1,fixed_coord,29.0193,26.6,59.1,95.6,38.065,57.0,1.8108,10.563,25,1294.2,13,31.5,17.1
1.0,1281.6,2,relay_coupled,15.8737,15.1,30.1,48.8,28.8417,40.5,1.6122,5.612,17,1299.6,5,23.0,8.6
1.0,1281.6,2,relay_isolated,15.8015,14.6,29.6,61.8,28.7087,39.5,1.6039,5.588,17,1299.6,5,27.5,13.1
1.0,1281.6,2,fixed_webster,30.2055,29.6,52.1,87.8,42.3631,61.5,2.1431,10.9527,26,1296.0,9,55.0,40.6
1.0,1281.6,2,fixed_coord,29.3154,27.1,60.6,89.1,38.8804,56.5,1.8581,10.6843,26,1281.6,16,31.5,17.1
1.0,1281.6,3,relay_coupled,15.3502,14.1,28.8,51.3,29.0549,41.0,1.5036,5.1342,19,1233.0,4,19.5,5.1
1.0,1281.6,3,relay_isolated,15.38,14.1,29.1,51.3,28.8308,41.0,1.4891,5.1562,19,1233.0,4,19.5,5.1
1.0,1281.6,3,fixed_webster,30.5153,29.6,53.8,104.3,41.3886,58.5,2.0693,10.6227,27,1220.4,17,55.0,40.6
1.0,1281.6,3,fixed_coord,27.6124,26.1,59.1,91.3,36.88,54.0,1.7727,9.5503,22,1211.4,20,31.5,17.1
1.0,1281.6,4,relay_coupled,15.452,14.3,29.1,50.3,28.6085,41.0,1.5554,5.6617,17,1315.8,9,26.0,11.6
1.0,1281.6,4,relay_isolated,15.3108,14.1,28.6,53.3,28.436,40.5,1.5581,5.594,17,1315.8,9,26.0,11.6
1.0,1281.6,4,fixed_webster,30.2379,29.1,53.6,100.3,41.4761,60.0,2.1277,11.2695,24,1310.4,19,55.0,40.6
1.0,1281.6,4,fixed_coord,28.6255,25.6,60.8,111.1,38.0243,56.0,1.8019,10.5985,25,1299.6,22,31.5,17.1
1.0,1281.6,5,relay_coupled,14.634,14.1,27.1,50.8,27.9018,40.0,1.454,5.0948,16,1292.4,0,24.5,10.1
1.0,1281.6,5,relay_isolated,14.6981,14.1,27.1,50.8,27.8745,39.0,1.4582,5.1145,16,1292.4,0,24.5,10.1
1.0,1281.6,5,fixed_webster,29.3535,27.6,56.3,92.8,40.7305,60.5,2.0733,10.581,26,1276.2,14,55.0,40.6
1.0,1281.6,5,fixed_coord,29.4126,27.6,60.6,113.8,38.3399,56.5,1.7855,10.554,26,1267.2,17,31.5,17.1
1.0,1281.6,6,relay_coupled,15.2861,14.1,28.1,54.3,28.8521,41.5,1.5085,5.3087,20,1274.4,5,46.0,31.6
1.0,1281.6,6,relay_isolated,14.9109,14.1,27.6,50.3,28.566,40.5,1.4774,5.1675,18,1274.4,5,31.0,16.6
1.0,1281.6,6,fixed_webster,31.2249,29.6,58.1,95.8,42.0235,60.0,2.0925,11.1258,26,1265.4,11,55.0,40.6
1.0,1281.6,6,fixed_coord,30.6522,27.3,68.3,121.6,37.7392,57.0,1.8103,10.9147,26,1252.8,16,31.5,17.1
1.0,1281.6,7,relay_coupled,14.686,13.6,28.1,51.3,28.1499,40.5,1.4884,5.0948,17,1245.6,15,19.5,5.1
1.0,1281.6,7,relay_isolated,14.8324,13.6,29.1,57.8,28.243,40.5,1.5101,5.1465,17,1245.6,15,19.5,5.1
1.0,1281.6,7,fixed_webster,29.7809,29.1,53.8,75.8,40.8251,58.5,2.0799,10.562,25,1238.4,20,55.0,40.6
1.0,1281.6,7,fixed_coord,29.3473,28.1,59.8,110.3,38.0347,55.5,1.7794,10.3473,24,1224.0,24,31.5,17.1
1.0,1281.6,8,relay_coupled,13.8479,13.1,26.6,45.8,27.1573,38.5,1.4108,4.6623,16,1231.2,9,19.0,4.6
1.0,1281.6,8,relay_isolated,13.4446,12.6,25.8,54.8,26.5868,37.5,1.3684,4.5468,16,1231.2,9,19.0,4.6
1.0,1281.6,8,fixed_webster,28.7627,28.3,51.3,81.1,40.6316,58.5,1.9749,10.0128,23,1218.6,18,56.0,41.6
1.0,1281.6,8,fixed_coord,27.186,26.1,56.1,85.1,37.1933,54.5,1.7814,9.393,23,1202.4,19,31.5,17.1
1.0,1281.6,9,relay_coupled,14.4475,14.1,26.6,49.6,27.6625,38.5,1.5037,4.7367,15,1204.2,5,24.0,9.6
1.0,1281.6,9,relay_isolated,14.4475,14.1,26.6,49.6,27.6625,38.5,1.5037,4.7367,15,1204.2,5,24.0,9.6
1.0,1281.6,9,fixed_webster,29.9428,28.8,55.3,105.8,41.3078,60.5,2.0713,10.0828,25,1186.2,17,22.0,7.6
1.0,1281.6,9,fixed_coord,30.1407,28.6,58.6,103.6,39.1878,56.0,1.8085,10.198,25,1184.4,15,31.5,17.1
1.0,1281.6,10,relay_coupled,14.8051,14.1,27.6,38.3,28.2451,39.0,1.5167,5.0133,15,1236.6,6,27.0,12.6
1.0,1281.6,10,relay_isolated,14.7134,14.1,27.3,53.1,28.0654,39.0,1.5153,4.9815,15,1236.6,6,27.0,12.6
1.0,1281.6,10,fixed_webster,30.0807,29.1,54.3,89.3,41.7363,60.0,2.0704,10.5025,27,1227.6,14,55.0,40.6
1.0,1281.6,10,fixed_coord,28.7013,26.6,59.8,102.6,37.33,55.5,1.7779,9.9812,22,1224.0,18,31.5,17.1
1.0,1281.6,11,relay_coupled,14.6753,14.1,29.1,52.3,27.8934,40.0,1.4734,5.0965,18,1285.2,2,29.5,15.1
1.0,1281.6,11,relay_isolated,14.8834,14.1,29.1,52.3,28.1217,40.0,1.486,5.171,18,1285.2,2,29.5,15.1
1.0,1281.6,11,fixed_webster,29.2334,28.3,50.6,90.8,41.4542,60.0,2.1064,10.4217,21,1269.0,14,56.0,41.6
1.0,1281.6,11,fixed_coord,29.1205,27.6,57.1,93.1,39.1445,61.0,1.7857,10.4078,27,1260.0,17,31.5,17.1
1.0,1281.6,12,relay_coupled,15.3986,14.6,29.1,40.8,28.8753,41.5,1.5635,5.168,16,1233.0,5,27.5,13.1
1.0,1281.6,12,relay_isolated,15.3826,14.3,29.1,40.8,28.7958,41.0,1.565,5.1625,16,1233.0,5,27.5,13.1
1.0,1281.6,12,fixed_webster,28.9853,27.8,52.3,76.3,40.3822,57.0,2.0617,9.9518,24,1225.8,11,56.0,41.6
