profile,level,total_demand_vph,seed,policy,mean_wait,p50_wait,p95_wait,max_wait,mean_queue,max_queue,throughput_vph,residual_queue,n_vehicles
asymmetric,0.6,766.8,22,fixed_webster,8.1379,7.0,22.0,41.0,1.8133,8,799.2,0,330
asymmetric,0.6,766.8,23,relay,5.7203,5.5,13.5,19.0,1.35,7,837.6,5,354
asymmetric,0.6,766.8,23,fixed_equal,11.2316,10.0,23.5,41.5,2.6613,13,842.4,4,354
asymmetric,0.6,766.8,23,fixed_webster,8.9802,7.0,24.0,44.0,2.1193,9,835.2,6,354
asymmetric,0.6,766.8,24,relay,5.2955,4.5,14.0,17.0,1.0097,8,686.4,0,286
asymmetric,0.6,766.8,24,fixed_equal,9.9318,9.5,23.5,25.0,1.9163,8,688.8,1,286
asymmetric,0.6,766.8,24,fixed_webster,8.8759,7.0,25.5,33.0,1.6997,8,688.8,0,286
asymmetric,0.6,766.8,25,relay,5.0812,4.5,12.5,17.5,1.0637,6,756.0,0,314
asymmetric,0.6,766.8,25,fixed_equal,11.0032,9.5,23.5,25.5,2.3473,8,760.8,1,314
asymmetric,0.6,766.8,25,fixed_webster,7.965,6.0,20.0,39.5,1.682,7,758.4,0,314
asymmetric,0.6,766.8,26,relay,4.6431,3.5,11.5,16.0,0.896,7,688.8,1,283
asymmetric,0.6,766.8,26,fixed_equal,11.0654,10.5,23.5,25.0,2.1443,10,691.2,1,283
asymmetric,0.6,766.8,26,fixed_webster,8.2473,7.0,21.5,27.5,1.5813,7,688.8,1,283
asymmetric,0.6,766.8,27,relay,4.8442,4.0,12.5,17.0,0.9977,7,741.6,0,308
asymmetric,0.6,766.8,27,fixed_equal,10.7565,10.5,23.5,25.0,2.2187,8,744.0,0,308
asymmetric,0.6,766.8,27,fixed_webster,9.0016,7.5,26.0,35.5,1.8493,9,741.6,0,308
asymmetric,0.6,766.8,28,relay,5.3611,5.0,12.0,18.5,1.2243,6,825.6,0,342
asymmetric,0.6,766.8,28,fixed_equal,11.5746,11.0,23.5,25.5,2.662,11,825.6,1,342
asymmetric,0.6,766.8,28,fixed_webster,8.8713,7.5,24.5,48.0,2.0413,8,825.6,2,342
asymmetric,0.6,766.8,29,relay,5.3019,4.5,12.5,20.0,1.12,6,760.8,0,313
asymmetric,0.6,766.8,29,fixed_equal,10.7859,9.5,23.5,39.5,2.313,9,758.4,2,313
asymmetric,0.6,766.8,29,fixed_webster,9.0623,8.0,23.0,42.0,1.927,8,765.6,0,313
asymmetric,0.8,1022.4,0,relay,5.2083,4.0,12.5,26.0,1.4583,9,988.8,8,420
asymmetric,0.8,1022.4,0,fixed_equal,12.3476,13.0,24.0,37.5,3.5183,14,998.4,9,420
asymmetric,0.8,1022.4,0,fixed_webster,7.7655,5.5,19.0,43.0,2.1753,12,988.8,9,420
asymmetric,0.8,1022.4,1,relay,5.9434,4.5,15.0,21.5,1.724,10,1039.2,2,433
asymmetric,0.8,1022.4,1,fixed_equal,11.1467,10.5,23.5,33.5,3.2283,12,1034.4,3,433
asymmetric,0.8,1022.4,1,fixed_webster,9.4688,8.0,24.5,45.0,2.7417,10,1039.2,2,433
asymmetric,0.8,1022.4,2,relay,6.6806,6.0,15.0,22.5,1.8623,8,1005.6,1,418
asymmetric,0.8,1022.4,2,fixed_equal,10.4761,9.0,23.5,35.5,2.9523,11,1005.6,2,418
asymmetric,0.8,1022.4,2,fixed_webster,8.6818,6.5,25.5,43.5,2.434,10,1000.8,3,418
asymmetric,0.8,1022.4,3,relay,5.7937,6.0,13.0,23.0,1.594,8,991.2,0,412
asymmetric,0.8,1022.4,3,fixed_equal,11.6129,10.5,24.0,31.5,3.223,11,996.0,0,412
asymmetric,0.8,1022.4,3,fixed_webster,8.9381,6.5,26.0,42.5,2.4707,12,993.6,1,412
asymmetric,0.8,1022.4,4,relay,5.2217,4.0,13.0,19.0,1.476,6,1012.8,2,424
asymmetric,0.8,1022.4,4,fixed_equal,12.6132,13.0,25.5,41.5,3.5653,14,1012.8,2,424
asymmetric,0.8,1022.4,4,fixed_webster,9.2017,8.5,24.5,41.5,2.602,9,1017.6,1,424
asymmetric,0.8,1022.4,5,relay,5.8468,5.5,13.5,25.0,1.75,8,1080.0,0,447
asymmetric,0.8,1022.4,5,fixed_equal,10.972,10.0,23.5,28.0,3.2817,10,1077.6,1,447
asymmetric,0.8,1022.4,5,fixed_webster,9.2483,8.0,25.5,52.5,2.7813,10,1082.4,1,447
asymmetric,0.8,1022.4,6,relay,5.5274,4.5,12.5,24.5,1.684,9,1094.4,1,457
asymmetric,0.8,1022.4,6,fixed_equal,13.5405,13.5,28.5,43.5,4.1253,17,1094.4,1,457
asymmetric,0.8,1022.4,6,fixed_webster,8.3074,6.5,21.0,37.0,2.531,9,1094.4,2,457
asymmetric,0.8,1022.4,7,relay,5.9815,5.5,14.5,24.5,1.7267,8,1036.8,1,433
asymmetric,0.8,1022.4,7,fixed_equal,11.3395,10.5,23.5,34.0,3.2937,10,1041.6,1,433
asymmetric,0.8,1022.4,7,fixed_webster,9.2587,7.0,25.5,41.5,2.6813,10,1044.0,1,433
